	Adresa městského úřadu	Adresa obecního úřadu	Adresa úřadu městyse	Historická země	Jmeno	Katastrální výměra	Katastrální území	Kraj (NUTS 3)	LAU (obec)	Nadmořská výška	Obec s rozšířenou působností	Obec s rozšířenou působností a pověřená obec	Okres (LAU 1)	PSČ	Pověřená obec	Počet obyvatel	Starosta	Status	Zeměpisné souřadnice	Zákl. sídelní jednotky	Části obce
41		Podmokly 15633808 Zbiroh		Čechy	Podmokly (okres Rokycany)	8,61 km²	1	Plzeňský (CZ032)	CZ0326 560081	398 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	253 (2018)[1] (e)	Luboš Souček	obec	49°56′36″ s. š., 13°42′16″ v. d.	1	1
42		Příkosice 128338 43 Mirošov 1		Čechy	Příkosice	7,1 km²	1	Plzeňský (CZ032)	CZ0326 579131	495 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		436 (2018)[1] (e)	Jan Šmolík	obec	49°40′6″ s. š., 13°39′49″ v. d.	1	1
43		Přívětice 76338 28 Radnice u Rokycan		Čechy	Přívětice	20,64 km²	2	Plzeňský (CZ032)	CZ0326 560111	427 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	205 (2018)[1] (e)	Ing. Marcela Judlová	obec	49°50′5″ s. š., 13°36′44″ v. d.	2	2
44	náměstí Kašpara Šternberka 363Radnice33828 Radnice u Rokycan			Čechy	Radnice (okres Rokycany)	10,64 km²	1	Plzeňský (CZ032)	CZ0326 560120	382 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	1 798 (2018)[1] (e)	Ing. Jan Altman	město	49°51′25″ s. š., 13°36′21″ v. d.	2	2
45		Raková 6833701 Rokycany 1		Čechy	Raková (okres Rokycany)	5,43 km²	1	Plzeňský (CZ032)	CZ0326 566942	460 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		250 (2018)[1] (e)	František Bůcha	obec	49°42′2″ s. š., 13°34′55″ v. d.	1	1
46	Městský úřad RokycanyMasarykovo náměstí 1337 01 Rokycany			Čechy	Rokycany	30,98 km²	2	Plzeňský (CZ032)	CZ0326 559717	362 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		14 074 (2018)[1] (e)	Václav Kočí	město	49°44′34″ s. š., 13°35′41″ v. d.	4	4
47		Sebečice 1433808 Zbiroh		Čechy	Sebečice	6,66 km²	2	Plzeňský (CZ032)	CZ0326 560146	462 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Radnice	67 (2018)[1] (e)	Tomáš Fiala	obec	49°52′12″ s. š., 13°41′32″ v. d.	2	2
48		Sirá 5233701 Rokycany 1		Čechy	Sirá	6,43 km²	1	Plzeňský (CZ032)	CZ0326 546488	497 m n. m.	Rokycany		Rokycany (CZ0326)	337 01	Zbiroh	137 (2018)[1] (e)	Hana Nováková	obec	49°49′18″ s. š., 13°44′19″ v. d.	1	1
49		Skomelno 9333828 Radnice u Rokycan		Čechy	Skomelno	2,88 km²	1	Plzeňský (CZ032)	CZ0326 566845	478 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	212 (2018)[1] (e)	–	obec	49°50′51″ s. š., 13°38′32″ v. d.	1	1
50		Skořice 433843 Mirošov 1		Čechy	Skořice (okres Rokycany)	23,74 km²	2	Plzeňský (CZ032)	CZ0326 506664	553 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		259 (2018)[1] (e)	Miloslav Suchý	obec	49°40′40″ s. š., 13°42′19″ v. d.	3	1
51		Smědčice 3233824 Břasy 1		Čechy	Smědčice	3,78 km²	1	Plzeňský (CZ032)	CZ0326 540722	344 m n. m.		Rokycany	Rokycany (CZ0326)	338 24		281 (2018)[1] (e)	Jana Šrédlová	obec	49°47′31″ s. š., 13°30′54″ v. d.	1	1
52		Strašice 276338 45 Strašice		Čechy	Strašice	34,84 km²	2	Plzeňský (CZ032)	CZ0326 560162	498 m n. m.		Rokycany	Rokycany (CZ0326)	338 45		2 534 (2018)[1] (e)	Jiří Hahner	obec	49°44′8″ s. š., 13°45′27″ v. d.	1	1
53		Svojkovice 2133822 Volduchy		Čechy	Svojkovice (okres Rokycany)	5,77 km²	1	Plzeňský (CZ032)	CZ0326 541176	394 m n. m.		Rokycany	Rokycany (CZ0326)	338 22		417 (2018)[1] (e)	Petr Mudra	obec	49°45′36″ s. š., 13°38′54″ v. d.	1	1
54		Štítov 2333843 Mirošov 1		Čechy	Štítov	2,61 km²	2	Plzeňský (CZ032)	CZ0326 579343	533 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		60 (2018)[1] (e)	Václav Hudec	obec	49°39′58″ s. š., 13°40′41″ v. d.	1	1
55		Těně 91338 45 Strašice		Čechy	Těně	20,77 km²	2	Plzeňský (CZ032)	CZ0326 560189	536 m n. m.		Rokycany	Rokycany (CZ0326)	338 45		280 (2018)[1] (e)	Václav Pour	obec	49°45′5″ s. š., 13°47′46″ v. d.	2	1
56		Terešov 10833808 Zbiroh		Čechy	Terešov	6,7 km²	1	Plzeňský (CZ032)	CZ0326 566802	408 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	170 (2018)[2] (e)	Roman Dibus[1]	obec	49°53′48″ s. š., 13°41′59″ v. d.	3	2
57		Obecní úřad Těškov Těškov 35 337 01 Rokycany		Čechy	Těškov	14,17 km²	1	Plzeňský (CZ032)	CZ0326 546526	500 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		301 (2018)[1] (e)	Ing. Václav Černý	obec	49°48′8″ s. š., 13°41′53″ v. d.	1	1
58		Trokavec 40338 43 Mirošov		Čechy	Trokavec	4,40 km²	2	Plzeňský (CZ032)	CZ0326 579246	615 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		109 (2018)[1] (e)	Jitka Hrabačková	obec	49°38′49″ s. š., 13°42′8″ v. d.	2	1
59		Týček 9533808 Zbiroh		Čechy	Týček	3,67 km²	1	Plzeňský (CZ032)	CZ0326 546534	471 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	207 (2018)[1] (e)	Hruška Zdeněk	obec	49°52′10″ s. š., 13°47′40″ v. d.	1	1
60		Újezd u Svatého Kříže 2733824 Břasy 1		Čechy	Újezd u Svatého Kříže	4,35 km²	1	Plzeňský (CZ032)	CZ0326 546551	430 m n. m.	Rokycany		Rokycany (CZ0326)	338 26	Radnice	231 (2018)[1] (e)	Alena Manková	obec	49°51′35″ s. š., 13°34′10″ v. d.	2	1
61		Vejvanov 4733828 Radnice u Rokycan		Čechy	Vejvanov	7,84 km²	1	Plzeňský (CZ032)	CZ0326 560227	456 m n. m.	Rokycany		Rokycany (CZ0326)	338 28	Radnice	234 (2018)[1] (e)	Špilar Luboš	obec	49°52′8″ s. š., 13°39′9″ v. d.	2	1
62		Veselá 6933701 Rokycany 1		Čechy	Veselá (okres Rokycany)	3,05 km²	1	Plzeňský (CZ032)	CZ0326 560235	447 m n. m.		Rokycany	Rokycany (CZ0326)	337 01		282 (2018)[1] (e)	Pavel Rybař	obec	49°41′43″ s. š., 13°36′10″ v. d.	1	1
63		Vísky 133843 Mirošov 1		Čechy	Vísky (okres Rokycany)	1,37 km²	1	Plzeňský (CZ032)	CZ0326 579289	565 m n. m.		Rokycany	Rokycany (CZ0326)	338 43		48 (2018)[1] (e)	Květa Frűhaufová	obec	49°39′5″ s. š., 13°40′58″ v. d.	1	1
64		Volduchy 12533822 Volduchy		Čechy	Volduchy	12,65 km²	1	Plzeňský (CZ032)	CZ0326 560251	400 m n. m.		Rokycany	Rokycany (CZ0326)	338 22		1 175 (2018)[1] (e)	Mgr. Michal Černý	obec	49°46′34″ s. š., 13°37′23″ v. d.	2	1
65		Všenice 13338 24 Břasy 1		Čechy	Všenice	2,67 km²	1	Plzeňský (CZ032)	CZ0326 566799	377 m n. m.		Rokycany	Rokycany (CZ0326)	338 24		270 (2018)[1] (e)	Luděk Kuška	obec	49°49′5″ s. š., 13°33′39″ v. d.	1	1
66	Masarykovo náměstí 11233808 Zbiroh			Čechy	Zbiroh	31,94 km²	5	Plzeňský (CZ032)	CZ0326 560260	414 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	2 487 (2018)[1] (e)	Milan Rusek	město	49°51′37″ s. š., 13°46′22″ v. d.	7	5
67			Zvíkovec 100338 08 Zbiroh	Čechy	Zvíkovec	3,99 km²	1	Plzeňský (CZ032)	CZ0326 541061	323 m n. m.	Rokycany		Rokycany (CZ0326)	338 08	Zbiroh	208 (2018)[1] (e)	Petr Uher	městys	49°57′15″ s. š., 13°41′19″ v. d.	2	1
